# Synthetic records generated for this project from a fixed seed. Not real customers, orders, sellers or photographs.
order_id,customer_id,order_date,expected_delivery,delivery_date,delivery_status,category,item_name,quantity,value_usd,currency,carrier,tracking_number,shipping_address,billing_matches_shipping,card_last4,avs_result,cvv_result,three_ds,ip_match_prior_orders,device_match_prior_orders,delivery_confirmation,terms_accepted,refund_issued_usd
ORD-100020,CUST-0024,2026-04-01,2026-04-06,2026-04-06,delivered,electronics,mesh router,2,277.76,USD,Harbour Freight Co,TRK8474060870,"135 Sample Street, Testville, CA",yes,6299,full_match,not_provided,attempted,yes,no,photo,yes,0.00
ORD-100021,CUST-0023,2026-01-13,2026-01-19,2026-01-19,delivered,books,field guide,1,257.83,USD,Northbound Post,TRK2259390192,"382 Sample Street, Testville, GB",yes,6498,partial_match,match,authenticated,no,yes,signature,yes,0.00
ORD-100022,CUST-0011,2026-03-15,2026-03-20,2026-03-20,delivered,books,hardback novel,1,107.87,USD,Northbound Post,TRK8199430737,"137 Sample Street, Testville, AU",yes,4985,no_match,not_provided,not_used,yes,yes,photo,yes,0.00
ORD-100023,CUST-0019,2026-02-09,2026-02-11,2026-02-11,delivered,perishable,bakery hamper,2,258.55,USD,Northbound Post,TRK7530213729,"282 Sample Street, Testville, GB",yes,2236,no_match,match,authenticated,yes,yes,photo,yes,0.00
ORD-100024,CUST-0032,2026-02-19,2026-02-22,2026-02-22,delivered,electronics,portable monitor,3,313.19,USD,Northbound Post,TRK2804006477,"40 Sample Street, Testville, GB",no,3917,full_match,not_provided,attempted,no,yes,photo,yes,0.00
ORD-100025,CUST-0028,2026-02-20,2026-03-01,2026-03-01,delivered,large_appliance,chest freezer,3,364.82,USD,Harbour Freight Co,TRK5929410677,"201 Sample Street, Testville, DE",no,4558,full_match,match,not_used,no,no,photo,yes,0.00
ORD-100026,CUST-0021,2026-01-18,2026-01-27,2026-01-27,delivered,electronics,wireless headphones,3,335.25,USD,Northbound Post,TRK9233526707,"372 Sample Street, Testville, CA",yes,0106,full_match,match,not_used,yes,yes,photo,yes,0.00
ORD-100027,CUST-0015,2026-03-24,2026-03-29,2026-03-29,delivered,electronics,wireless headphones,1,201.41,USD,Harbour Freight Co,TRK1264412990,"102 Sample Street, Testville, GB",yes,3737,full_match,match,authenticated,no,no,signature,yes,0.00
ORD-100028,CUST-0001,2026-01-01,2026-01-10,2026-01-10,delivered,perishable,fresh pasta,3,302.28,USD,Northbound Post,TRK6551793677,"235 Sample Street, Testville, DE",yes,6216,no_match,not_provided,not_used,yes,yes,photo,yes,0.00
ORD-100029,CUST-0011,2026-02-18,2026-02-21,2026-02-21,delivered,apparel,linen trousers,2,67.50,USD,Northbound Post,TRK5944184157,"28 Sample Street, Testville, AU",no,0755,full_match,match,not_used,yes,no,signature,yes,0.00
ORD-100030,CUST-0022,2026-03-13,2026-03-18,2026-03-18,delivered,gift_card,gift card 25,1,412.01,USD,Vantage Courier,TRK9210745370,"364 Sample Street, Testville, US",yes,3833,partial_match,match,not_used,yes,no,photo,yes,0.00
ORD-100031,CUST-0005,2026-01-24,2026-01-27,2026-01-27,delivered,personal_care,hair dryer,3,81.98,USD,Vantage Courier,TRK2461291318,"286 Sample Street, Testville, GB",yes,4006,no_match,match,authenticated,yes,no,photo,yes,0.00
ORD-100032,CUST-0035,2026-02-03,2026-02-11,2026-02-11,delivered,electronics,mesh router,1,484.59,USD,Harbour Freight Co,TRK9024677159,"177 Sample Street, Testville, AU",yes,5073,full_match,match,not_used,no,yes,signature,yes,0.00
ORD-100033,CUST-0051,2026-02-08,2026-02-16,2026-02-16,delivered,large_appliance,range cooker,1,392.18,USD,Harbour Freight Co,TRK5726744764,"75 Sample Street, Testville, GB",yes,6174,full_match,match,attempted,yes,yes,signature,yes,0.00
ORD-100034,CUST-0048,2026-01-29,2026-02-01,,in_transit,gift_card,gift card 25,1,169.78,USD,Vantage Courier,TRK1662748733,"37 Sample Street, Testville, CA",yes,9327,partial_match,not_provided,attempted,yes,yes,,yes,0.00
ORD-100035,CUST-0048,2026-03-16,2026-03-25,2026-03-25,delivered,electronics,portable monitor,1,406.25,USD,Vantage Courier,TRK3910526571,"92 Sample Street, Testville, CA",yes,0344,no_match,match,attempted,yes,no,photo,yes,0.00
ORD-100036,CUST-0030,2026-03-16,2026-03-24,2026-03-24,delivered,personal_care,skincare set,1,180.03,USD,Vantage Courier,TRK7249423059,"135 Sample Street, Testville, GB",yes,9328,partial_match,not_provided,authenticated,no,no,photo,yes,0.00
ORD-100037,CUST-0022,2026-03-12,2026-03-17,2026-03-17,delivered,gift_card,gift card 10,3,75.34,USD,Harbour Freight Co,TRK7977511017,"326 Sample Street, Testville, US",no,4822,full_match,match,not_used,no,no,photo,yes,0.00
ORD-100038,CUST-0019,2026-03-02,2026-03-08,2026-03-08,delivered,gift_card,gift card 100,1,669.85,USD,Vantage Courier,TRK2006915991,"139 Sample Street, Testville, GB",no,7755,full_match,match,not_used,yes,yes,signature,yes,0.00
ORD-100039,CUST-0008,2026-02-25,2026-03-03,2026-03-03,delivered,grocery,spice set,1,132.89,USD,Harbour Freight Co,TRK8485304018,"391 Sample Street, Testville, GB",yes,3086,partial_match,match,attempted,no,yes,photo,yes,0.00
ORD-100040,CUST-0037,2026-01-07,2026-01-14,2026-01-14,delivered,books,hardback novel,1,249.81,USD,Vantage Courier,TRK9653535836,"181 Sample Street, Testville, CA",yes,8049,full_match,match,authenticated,yes,no,signature,yes,0.00
ORD-100041,CUST-0004,2026-02-24,2026-03-02,2026-03-02,delivered,large_appliance,range cooker,1,367.93,USD,Vantage Courier,TRK7612767913,"96 Sample Street, Testville, CA",yes,7663,no_match,not_provided,not_used,yes,yes,signature,yes,0.00
ORD-100042,CUST-0007,2026-04-03,2026-04-07,2026-04-07,delivered,apparel,wool overshirt,1,45.00,USD,Northbound Post,TRK5918796984,"270 Sample Street, Testville, AU",yes,5850,partial_match,not_provided,attempted,yes,yes,photo,yes,0.00
ORD-100043,CUST-0001,2026-03-18,2026-03-27,,lost,large_appliance,range cooker,1,406.70,USD,Vantage Courier,TRK9125334634,"51 Sample Street, Testville, DE",yes,3421,partial_match,match,authenticated,no,no,,yes,0.00
ORD-100044,CUST-0049,2026-01-19,2026-01-22,2026-01-22,delivered,apparel,knit scarf,1,402.84,USD,Northbound Post,TRK4709165971,"125 Sample Street, Testville, GB",yes,7395,full_match,not_provided,not_used,yes,no,signature,yes,0.00
ORD-100045,CUST-0032,2025-12-24,2025-12-27,2025-12-27,delivered,large_appliance,dishwasher,2,316.58,USD,Northbound Post,TRK4938798821,"284 Sample Street, Testville, GB",yes,9405,no_match,match,authenticated,no,yes,photo,yes,0.00
ORD-100046,CUST-0011,2026-01-24,2026-01-26,2026-01-26,delivered,grocery,tea sampler,1,15.46,USD,Northbound Post,TRK4473881138,"191 Sample Street, Testville, AU",yes,7828,partial_match,match,attempted,yes,no,signature,yes,0.00
ORD-100047,CUST-0036,2026-03-15,2026-03-23,2026-03-23,delivered,grocery,spice set,2,279.35,USD,Vantage Courier,TRK3385627948,"240 Sample Street, Testville, GB",no,7241,full_match,match,authenticated,yes,yes,signature,yes,0.00
ORD-100048,CUST-0060,2026-01-02,2026-01-06,2026-01-06,delivered,personal_care,skincare set,1,353.85,USD,Harbour Freight Co,TRK7274401257,"314 Sample Street, Testville, DE",no,0518,full_match,not_provided,not_used,yes,no,signature,yes,0.00
ORD-100049,CUST-0028,2026-02-21,2026-02-27,2026-02-27,delivered,gift_card,gift card 100,1,241.58,USD,Northbound Post,TRK4010463335,"16 Sample Street, Testville, DE",yes,1438,full_match,not_provided,authenticated,no,yes,photo,yes,0.00
ORD-100050,CUST-0030,2025-12-14,2025-12-23,,in_transit,jewellery,gold hoops,2,73.11,USD,Northbound Post,TRK4707695779,"196 Sample Street, Testville, GB",yes,3131,partial_match,match,authenticated,yes,yes,,yes,0.00
ORD-100051,CUST-0003,2026-03-11,2026-03-20,2026-03-20,delivered,apparel,knit scarf,2,138.89,USD,Northbound Post,TRK8126870834,"191 Sample Street, Testville, GB",yes,5810,full_match,match,authenticated,yes,yes,signature,yes,0.00
ORD-100052,CUST-0058,2026-01-28,2026-02-05,2026-02-05,delivered,large_appliance,dishwasher,1,726.66,USD,Harbour Freight Co,TRK5087926689,"96 Sample Street, Testville, GB",no,1073,full_match,match,authenticated,yes,yes,photo,yes,0.00
ORD-100053,CUST-0021,2026-02-12,2026-02-18,,lost,large_appliance,dishwasher,1,49.35,USD,Vantage Courier,TRK4255278241,"43 Sample Street, Testville, CA",yes,5832,full_match,not_provided,authenticated,no,no,,yes,0.00
ORD-100054,CUST-0039,2026-01-01,2026-01-05,2026-01-05,delivered,jewellery,gold hoops,3,93.17,USD,Vantage Courier,TRK3963107252,"124 Sample Street, Testville, CA",yes,9108,full_match,match,not_used,no,yes,photo,yes,0.00
ORD-100055,CUST-0053,2026-02-26,2026-03-06,2026-03-06,delivered,gift_card,gift card 50,2,198.76,USD,Harbour Freight Co,TRK4208956782,"186 Sample Street, Testville, CA",yes,2425,full_match,match,not_used,no,yes,photo,yes,0.00
ORD-100056,CUST-0057,2026-04-02,2026-04-10,2026-04-10,delivered,large_appliance,chest freezer,1,139.75,USD,Harbour Freight Co,TRK8385735750,"282 Sample Street, Testville, CA",no,6320,full_match,match,not_used,yes,no,photo,yes,0.00
ORD-100057,CUST-0027,2026-02-07,2026-02-12,2026-02-12,delivered,custom_made,custom desk mat,1,376.20,USD,Northbound Post,TRK2490959389,"331 Sample Street, Testville, GB",yes,4186,no_match,match,not_used,yes,yes,signature,yes,0.00
ORD-100058,CUST-0021,2025-12-28,2026-01-02,2026-01-02,delivered,large_appliance,dishwasher,1,201.32,USD,Harbour Freight Co,TRK7782392796,"57 Sample Street, Testville, CA",yes,3926,full_match,match,not_used,no,no,signature,yes,0.00
ORD-100059,CUST-0043,2026-02-19,2026-02-28,2026-02-28,delivered,books,field guide,3,516.99,USD,Vantage Courier,TRK8611991441,"112 Sample Street, Testville, AU",yes,9821,partial_match,match,attempted,yes,yes,signature,yes,0.00
ORD-100060,CUST-0055,2026-02-11,2026-02-16,2026-02-16,delivered,books,hardback novel,2,272.63,USD,Harbour Freight Co,TRK8137003089,"176 Sample Street, Testville, CA",yes,7548,partial_match,match,attempted,no,yes,photo,yes,0.00
ORD-100061,CUST-0048,2026-03-26,2026-03-28,2026-03-28,delivered,grocery,spice set,1,401.27,USD,Harbour Freight Co,TRK4611694228,"37 Sample Street, Testville, CA",yes,9561,full_match,match,not_used,yes,no,photo,yes,0.00
ORD-100062,CUST-0044,2025-12-15,2025-12-22,2025-12-22,delivered,electronics,wireless headphones,3,253.14,USD,Northbound Post,TRK4081065494,"294 Sample Street, Testville, AU",no,8231,full_match,match,not_used,no,yes,photo,yes,0.00
ORD-100063,CUST-0035,2026-02-27,2026-03-08,2026-03-08,delivered,personal_care,skincare set,1,279.11,USD,Northbound Post,TRK2846583642,"107 Sample Street, Testville, AU",yes,9016,partial_match,not_provided,authenticated,yes,yes,photo,yes,0.00
ORD-100064,CUST-0019,2026-02-16,2026-02-20,2026-02-20,delivered,custom_made,bespoke curtains,3,285.20,USD,Northbound Post,TRK2755449769,"89 Sample Street, Testville, GB",yes,9377,partial_match,match,attempted,yes,yes,photo,yes,0.00
ORD-100065,CUST-0025,2025-12-19,2025-12-25,2025-12-25,delivered,jewellery,silver pendant,3,501.44,USD,Northbound Post,TRK5227924265,"76 Sample Street, Testville, DE",no,2465,full_match,match,attempted,yes,yes,photo,yes,0.00
ORD-100066,CUST-0042,2026-01-16,2026-01-22,2026-01-22,delivered,electronics,action camera,2,408.45,USD,Vantage Courier,TRK2225494167,"207 Sample Street, Testville, US",no,6394,full_match,match,not_used,yes,yes,signature,yes,0.00
ORD-100067,CUST-0035,2026-04-04,2026-04-08,2026-04-08,delivered,perishable,cheese selection,1,142.64,USD,Northbound Post,TRK3741452818,"391 Sample Street, Testville, AU",yes,7954,no_match,match,authenticated,no,no,photo,yes,0.00
ORD-100068,CUST-0059,2025-12-14,2025-12-21,2025-12-21,delivered,gift_card,gift card 50,2,367.00,USD,Harbour Freight Co,TRK3787544537,"26 Sample Street, Testville, DE",yes,3336,partial_match,match,attempted,yes,yes,signature,yes,0.00
ORD-100069,CUST-0046,2026-03-26,2026-04-04,2026-04-04,delivered,electronics,portable monitor,1,28.08,USD,Vantage Courier,TRK2181207266,"331 Sample Street, Testville, DE",no,4330,no_match,match,authenticated,yes,no,signature,yes,0.00
ORD-100070,CUST-0039,2026-03-14,2026-03-20,2026-03-20,delivered,jewellery,gold hoops,2,107.27,USD,Northbound Post,TRK5474720599,"277 Sample Street, Testville, CA",no,7653,no_match,match,authenticated,no,yes,signature,yes,0.00
ORD-100071,CUST-0033,2026-01-29,2026-02-04,2026-02-04,delivered,electronics,portable monitor,2,136.07,USD,Harbour Freight Co,TRK4137199429,"152 Sample Street, Testville, CA",yes,0279,full_match,match,not_used,yes,yes,signature,yes,0.00
ORD-100072,CUST-0016,2026-03-23,2026-03-29,,in_transit,jewellery,signet ring,1,368.96,USD,Harbour Freight Co,TRK9757701056,"379 Sample Street, Testville, DE",yes,3045,full_match,match,authenticated,no,yes,,yes,0.00
ORD-100073,CUST-0022,2026-02-13,2026-02-22,2026-02-22,delivered,grocery,coffee beans,3,359.12,USD,Harbour Freight Co,TRK3970767029,"307 Sample Street, Testville, US",yes,3298,partial_match,not_provided,authenticated,no,yes,signature,yes,0.00
ORD-100074,CUST-0031,2026-03-16,2026-03-25,2026-03-25,delivered,electronics,portable monitor,1,338.52,USD,Harbour Freight Co,TRK8517654485,"349 Sample Street, Testville, AU",yes,6034,full_match,match,attempted,yes,yes,signature,yes,0.00
ORD-100075,CUST-0049,2026-01-09,2026-01-13,2026-01-13,delivered,apparel,knit scarf,2,343.63,USD,Northbound Post,TRK3199996330,"372 Sample Street, Testville, GB",yes,4615,no_match,match,attempted,yes,yes,signature,yes,0.00
ORD-100076,CUST-0020,2026-02-14,2026-02-20,2026-02-20,delivered,electronics,wireless headphones,2,218.09,USD,Harbour Freight Co,TRK1166508354,"61 Sample Street, Testville, GB",yes,7619,partial_match,match,not_used,yes,yes,photo,yes,0.00
ORD-100077,CUST-0019,2026-03-27,2026-03-31,2026-03-31,delivered,electronics,portable monitor,1,320.00,USD,Vantage Courier,TRK7757819647,"272 Sample Street, Testville, CA",no,9650,partial_match,match,attempted,no,yes,photo,yes,0.00
ORD-100078,CUST-0059,2026-02-26,2026-03-03,2026-03-03,delivered,personal_care,skincare set,1,706.12,USD,Harbour Freight Co,TRK9388230913,"2 Sample Street, Testville, DE",yes,6705,partial_match,match,not_used,no,no,photo,yes,0.00
ORD-100079,CUST-0037,2026-02-19,2026-02-22,2026-02-22,delivered,jewellery,signet ring,1,306.26,USD,Harbour Freight Co,TRK7131198454,"364 Sample Street, Testville, CA",no,2965,no_match,match,not_used,no,no,signature,yes,0.00
ORD-100080,CUST-0043,2025-12-26,2026-01-03,2026-01-03,delivered,gift_card,gift card 10,2,392.90,USD,Vantage Courier,TRK4065513760,"259 Sample Street, Testville, AU",yes,2367,full_match,match,authenticated,yes,no,signature,yes,0.00
ORD-100081,CUST-0024,2025-12-17,2025-12-24,2025-12-24,delivered,personal_care,skincare set,1,140.13,USD,Harbour Freight Co,TRK7143550571,"326 Sample Street, Testville, CA",yes,6356,partial_match,match,authenticated,yes,yes,signature,yes,0.00
ORD-100082,CUST-0031,2025-12-23,2025-12-31,2025-12-31,delivered,personal_care,skincare set,1,71.73,USD,Northbound Post,TRK5303950690,"264 Sample Street, Testville, AU",no,7032,partial_match,match,not_used,yes,yes,signature,yes,0.00
ORD-100083,CUST-0050,2026-01-28,2026-02-01,2026-02-01,delivered,electronics,portable monitor,2,126.18,USD,Vantage Courier,TRK9427330904,"280 Sample Street, Testville, GB",yes,6150,no_match,match,authenticated,no,yes,photo,yes,0.00
ORD-100084,CUST-0022,2026-01-11,2026-01-20,2026-01-20,delivered,custom_made,engraved tankard,3,79.26,USD,Harbour Freight Co,TRK2416958776,"240 Sample Street, Testville, US",yes,6009,no_match,not_provided,not_used,no,yes,photo,yes,0.00
ORD-100085,CUST-0049,2026-01-26,2026-01-28,,in_transit,perishable,bakery hamper,1,588.41,USD,Vantage Courier,TRK9049840252,"26 Sample Street, Testville, GB",no,7284,full_match,match,authenticated,no,yes,,yes,0.00
ORD-100086,CUST-0004,2025-12-17,2025-12-21,2025-12-21,delivered,custom_made,bespoke curtains,1,281.05,USD,Vantage Courier,TRK7979547591,"307 Sample Street, Testville, CA",yes,5895,full_match,match,not_used,yes,no,signature,yes,0.00
ORD-100087,CUST-0053,2025-12-27,2025-12-29,2025-12-29,delivered,personal_care,skincare set,1,51.89,USD,Vantage Courier,TRK2467786492,"152 Sample Street, Testville, CA",yes,5360,full_match,match,not_used,yes,no,photo,yes,0.00
ORD-100088,CUST-0044,2026-01-17,2026-01-21,2026-01-21,delivered,grocery,coffee beans,2,370.04,USD,Vantage Courier,TRK1460566861,"174 Sample Street, Testville, AU",yes,1026,full_match,match,not_used,yes,yes,photo,yes,0.00
ORD-100089,CUST-0020,2026-03-31,2026-04-06,2026-04-06,delivered,personal_care,skincare set,1,623.49,USD,Northbound Post,TRK8149853381,"320 Sample Street, Testville, GB",yes,0089,full_match,match,authenticated,no,yes,photo,yes,0.00
ORD-100090,CUST-0002,2026-03-12,2026-03-20,2026-03-20,delivered,books,field guide,1,303.51,USD,Northbound Post,TRK9208066435,"231 Sample Street, Testville, CA",no,6437,partial_match,match,attempted,yes,no,signature,yes,0.00
ORD-100091,CUST-0018,2026-01-17,2026-01-25,2026-01-25,delivered,jewellery,gold hoops,1,143.51,USD,Harbour Freight Co,TRK3904829553,"245 Sample Street, Testville, GB",yes,0575,partial_match,match,authenticated,yes,yes,signature,yes,0.00
ORD-100092,CUST-0030,2026-03-21,2026-03-28,2026-03-28,delivered,electronics,action camera,1,30.04,USD,Northbound Post,TRK8303984128,"221 Sample Street, Testville, GB",yes,7113,no_match,match,authenticated,yes,yes,signature,yes,0.00
ORD-100093,CUST-0049,2026-03-26,2026-04-01,2026-04-01,delivered,large_appliance,tumble dryer,1,134.96,USD,Northbound Post,TRK8690304905,"183 Sample Street, Testville, GB",no,8431,full_match,match,attempted,yes,yes,photo,yes,0.00
ORD-100094,CUST-0025,2025-12-20,2025-12-26,2025-12-26,delivered,custom_made,tailored blazer,1,367.43,USD,Northbound Post,TRK4449874205,"148 Sample Street, Testville, DE",yes,7911,partial_match,match,attempted,yes,yes,signature,yes,0.00
ORD-100095,CUST-0026,2026-02-23,2026-02-25,2026-02-25,delivered,electronics,mesh router,2,271.63,USD,Northbound Post,TRK5943362502,"127 Sample Street, Testville, US",yes,4676,no_match,match,not_used,yes,no,photo,yes,0.00
ORD-100096,CUST-0056,2026-04-05,2026-04-10,2026-04-10,delivered,large_appliance,chest freezer,3,278.08,USD,Northbound Post,TRK2211238422,"389 Sample Street, Testville, CA",yes,8622,full_match,match,authenticated,yes,yes,signature,yes,0.00
ORD-100097,CUST-0043,2026-01-19,2026-01-24,2026-01-24,delivered,grocery,coffee beans,3,44.55,USD,Harbour Freight Co,TRK5943942482,"318 Sample Street, Testville, AU",yes,3867,full_match,not_provided,not_used,no,yes,signature,yes,0.00
ORD-100098,CUST-0027,2026-02-11,2026-02-13,2026-02-13,delivered,apparel,linen trousers,2,87.77,USD,Northbound Post,TRK3358149959,"170 Sample Street, Testville, GB",yes,4173,no_match,match,attempted,yes,yes,photo,yes,0.00
ORD-100099,CUST-0052,2026-02-25,2026-03-05,2026-03-05,delivered,electronics,action camera,1,314.32,USD,Harbour Freight Co,TRK7664749471,"294 Sample Street, Testville, GB",yes,2424,no_match,match,authenticated,no,yes,signature,yes,0.00
ORD-100100,CUST-0032,2026-04-01,2026-04-03,2026-04-03,delivered,grocery,coffee beans,1,45.40,USD,Northbound Post,TRK3614956434,"309 Sample Street, Testville, GB",no,7673,no_match,match,attempted,yes,no,photo,yes,0.00
ORD-100101,CUST-0003,2026-02-11,2026-02-13,2026-02-13,delivered,custom_made,tailored blazer,3,587.18,USD,Harbour Freight Co,TRK8082525255,"274 Sample Street, Testville, GB",yes,0121,no_match,match,authenticated,yes,yes,signature,yes,0.00
ORD-100102,CUST-0029,2026-03-02,2026-03-07,2026-03-07,delivered,jewellery,steel watch,2,660.72,USD,Vantage Courier,TRK6981570076,"385 Sample Street, Testville, CA",no,4233,full_match,match,attempted,yes,no,photo,yes,0.00
ORD-100103,CUST-0034,2026-02-25,2026-02-28,2026-02-28,delivered,large_appliance,dishwasher,2,329.72,USD,Harbour Freight Co,TRK6428865322,"155 Sample Street, Testville, AU",yes,3797,no_match,match,attempted,yes,yes,photo,yes,0.00
ORD-100104,CUST-0007,2026-01-22,2026-01-24,2026-01-24,delivered,apparel,knit scarf,3,396.79,USD,Northbound Post,TRK8626000335,"343 Sample Street, Testville, CA",yes,5719,no_match,match,authenticated,no,yes,photo,yes,0.00
ORD-100105,CUST-0034,2026-03-15,2026-03-23,,in_transit,perishable,fruit box,1,324.88,USD,Harbour Freight Co,TRK2499132501,"40 Sample Street, Testville, AU",yes,0467,partial_match,not_provided,not_used,yes,no,,yes,0.00
ORD-100106,CUST-0038,2026-02-14,2026-02-16,2026-02-16,delivered,books,field guide,1,280.55,USD,Harbour Freight Co,TRK5909827988,"78 Sample Street, Testville, AU",yes,7691,full_match,not_provided,authenticated,no,no,signature,yes,0.00
ORD-100107,CUST-0058,2026-01-10,2026-01-19,,lost,grocery,tea sampler,2,214.80,USD,Harbour Freight Co,TRK8988617337,"208 Sample Street, Testville, GB",yes,6390,full_match,match,not_used,no,no,,yes,0.00
ORD-100108,CUST-0035,2026-04-04,2026-04-13,2026-04-13,delivered,apparel,knit scarf,1,286.46,USD,Northbound Post,TRK6611532487,"54 Sample Street, Testville, AU",no,0713,partial_match,match,attempted,yes,no,photo,yes,0.00
ORD-100109,CUST-0048,2026-03-26,2026-03-30,2026-03-30,delivered,large_appliance,range cooker,3,222.96,USD,Northbound Post,TRK2393331660,"212 Sample Street, Testville, CA",yes,8423,no_match,match,authenticated,yes,yes,signature,yes,0.00
ORD-100110,CUST-0051,2026-02-18,2026-02-26,2026-02-26,delivered,large_appliance,chest freezer,1,290.33,USD,Harbour Freight Co,TRK6384286330,"154 Sample Street, Testville, GB",yes,3665,full_match,match,authenticated,no,no,signature,yes,0.00
